Scheme Name,Scheme Type,Scheme Subtype,No. of Schemes,No. of Folios,Funds Mobilized (INR in crore),Repurchase/Redemption (INR in crore),Net Assets Under Management (INR in crore),Average Net Assets Under Management (INR in crore),No. of segregated portfolios created,Net Assets Under Management in segregated portfolio (INR in crores),Net Inflow or Outflow,Net Asset under Management per Scheme,Net Inflow or Outflow per Scheme,month and year
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,373690,3997.09,5111.24,120496.26,120181.91,0,0,-1114.1499999999996,5477.102727272727,-50.6431818181818,July 2021
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,197683,928.56,1374.09,16255.86,16308.09,0,0,-445.53,774.0885714285714,-21.215714285714284,July 2021
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,4,51180,22.43,69.64,1453.08,1468.68,0,0,-47.21,363.27,-11.8025,July 2021
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,269200,14833.75,7410.25,84151.88,78499.8,0,0,7423.5,7012.656666666667,618.625,July 2021
Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),,,317,7828089,704824.37,631130.33,1466222.79,1472870.56,20,725.71,73694.04000000004,4625.308485804417,232.47331230283925,July 2021
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2021
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,11,1601883,685.83,521.27,25802.52,25153.58,0,0,164.56000000000006,2345.683636363636,14.960000000000006,July 2021
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,33,11046261,3757.06,3164.05,198796.32,197437.09,0,0,593.0099999999998,6024.130909090909,17.96999999999999,July 2021
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,28,5415249,2379.01,1145.11,92208.8,90171.82,0,0,1233.9000000000003,3293.171428571429,44.06785714285716,July 2021
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,7328031,3591.62,2103.75,142791.5,139167.17,0,0,1487.87,5288.574074074074,55.10629629629629,July 2021
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,25,5922875,3540.22,1761.57,94014.75,90450.98,0,0,1778.6499999999999,3760.59,71.146,July 2021
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,8,539484,153.83,101.0,8763.8,8570.18,0,0,52.83000000000001,1095.475,6.603750000000002,July 2021
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,19,3824510,1229.11,1691.29,71530.63,69988.47,0,0,-462.18000000000006,3764.7700000000004,-24.32526315789474,July 2021
Focused Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,4201884,2236.16,1226.29,80871.36,79669.72,0,0,1009.8699999999999,3110.436923076923,38.841153846153844,July 2021
Sectoral/Thematic Funds,Open ended Schemes,Growth/Equity Oriented Schemes,110,9050255,8627.73,2899.2,123935.71,121170.36,0,0,5728.53,1126.6882727272728,52.07754545454545,July 2021
ELSS,Open ended Schemes,Growth/Equity Oriented Schemes,42,12815213,1338.5,1850.25,138662.7,137543.94,0,0,-511.75,3301.4928571428572,-12.18452380952381,July 2021
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,9331465,14561.82,3053.59,193422.29,185252.93,0,0,11508.23,7439.318846153847,442.62423076923073,July 2021
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,355,71077110,42100.88,19517.36,1170800.37,1144576.24,0,0,22583.519999999997,3298.029211267606,63.61554929577464,July 2021
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2021
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,22,459172,1177.14,450.65,17079.5,15910.03,2,44.16,726.4900000000001,776.3409090909091,33.022272727272735,July 2021
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,34,4807843,3378.04,2637.4,135589.18,133934.81,2,9.33,740.6399999999999,3987.9170588235293,21.783529411764704,July 2021
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,23,2982734,4719.48,2265.89,122591.86,122265.9,0,0,2453.5899999999997,5330.080869565218,106.67782608695651,July 2021
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,10,732775,471.63,480.92,16432.03,17082.47,0,0,-9.29000000000002,1643.203,-0.929000000000002,July 2021
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,26,552026,20043.22,5118.79,108177.88,111049.03,0,0,14924.43,4160.6876923076925,574.0165384615385,July 2021
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,23,300058,1110.54,465.33,12031.15,12088.53,2,25.81,645.21,523.0934782608696,28.052608695652175,July 2021
Sub Total - III (i+ii+iii+iv+v+vi),,,138,9834608,30900.05,11418.98,411901.6,412330.77,6,79.3,19481.07,2984.7942028985503,141.16717391304348,July 2021
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2021
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,25,2639949,204.93,163.85,15130.15,14969.45,0,0,41.08000000000001,605.206,1.6432000000000004,July 2021
